City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
353,fukue,40,JP,1552382046,58,35.03,136.69,55.99,8.05
354,uribia,20,CO,1552382239,76,11.71,-72.27,75.29,14.12
355,puerto escondido,0,MX,1552382239,100,15.86,-97.07,82.31,5.39
356,lora del rio,0,ES,1552382236,76,37.66,-5.53,63.0,2.24
357,gloversville,90,US,1552382230,92,43.05,-74.34,32.0,9.17
358,kendari,92,ID,1552382240,72,-3.99,122.52,83.61,3.38
359,talnakh,32,RU,1552382240,83,69.49,88.39,5.04,8.41
360,miramar,20,CR,1552382208,68,10.09,-84.73,71.6,20.8
361,zemetchino,0,RU,1552382240,97,53.5,42.62,32.31,11.43
362,lhokseumawe,36,ID,1552382241,100,5.18,97.15,83.34,6.96
363,port lincoln,0,AU,1552382241,90,-34.72,135.86,62.78,10.76
364,salemi,40,IT,1552382186,66,37.82,12.8,57.0,32.21
365,nome,90,US,1552382237,82,30.04,-94.42,66.99,4.7
366,tshikapa,44,CD,1552382241,83,-6.42,20.79,80.55,2.93
367,sompeta,20,IN,1552382242,81,18.93,84.6,85.28,2.37
368,nouadhibou,0,MR,1552377600,35,20.93,-17.03,69.8,16.11
369,nanyamba,75,MZ,1552377600,79,-10.69,39.81,84.2,20.8
370,aalen,0,DE,1552382239,69,48.84,10.09,46.0,6.93
371,gat,0,SN,1552381200,13,14.69,-16.54,78.8,14.99
372,siljan,90,NO,1552382213,79,59.29,9.71,27.0,3.36
373,voi,8,KE,1552382242,36,-3.4,38.57,90.86,6.62
374,leningradskiy,0,RU,1552382243,78,69.38,178.42,-17.82,10.31
375,taltal,36,CL,1552382243,100,-25.41,-70.49,51.84,1.36
376,barugo,80,PH,1552382243,91,11.32,124.74,81.14,7.4
377,conakry,0,GN,1552381200,65,9.52,-13.7,80.6,4.7
378,camacupa,24,AO,1552382243,98,-12.02,17.48,72.45,3.94
379,fairbanks,90,US,1552382209,73,64.84,-147.72,30.2,2.93
380,oshnaviyeh,0,IR,1552379400,37,37.04,45.1,53.6,11.41
381,union,90,US,1552382240,93,47.36,-123.1,43.0,5.82
382,kiruna,0,SE,1552378800,56,67.86,20.23,14.0,10.29
